tags,gloss,type,subcategories
quantity,quantity,final,II
"movement (quick, violent)",quick or violent movement,final,"II, TA, TI"
quickly,quickly,final,"TI, TA"
quit,quit,final,TI
rain (V),rain,final,"II, intr"
"rain (N)
water","rain, water",final,
action (rapid),rapid action ??,final,AI
motion (rapid),rapid motion,final,"AI, TA, TI"
"action (rapid, violent)",rapid or violent action,final,
"action (intense, rapid)",rapid/intense action,final,TA
"read
count","read, count",final,AI
"rear (V)
raise (child)","rear child(ren), raise child(ren)",final,AI
referent associated with verb,referent associated with verb,final,N
state (spatial),réfère à differents états spaciaux,final,
"motion
path
orientation","refers to motion, pathways, or orientation",final,TA
,réfère à differents états non spaciaux,final,
region,region,final,NI
activity (regular),regular activity,final,AI
related,related to,final,"TA, TI"
fat (A),related to fatness,final,AI
location,related to location,final,TI
path,related to path,final,TI
relates action to object,relates action to object,final,"TA, TI"
"resort to
frequent (V)","resort to, frequent",final,"TA, TI"
motion (rhythmic),rhythmic motion?,final,"AI, TA, TI"
ride (horse),ride a horse,final,AI
ride (horse),ride horse,final,AI
ride,riding,final,AI
river,river,final,"N, II"
road,road,final,"PART, AI"
"road
path","road, path",final,N
rock,rock,final,"NA, II"
"rock
stone","rock, stone",final,
rock,rocks,final,II
roll (paper),"roll s.o. (paper) for example, a cigarette (animate)",final,TA
roll (paper),"roll s.t. (paper), paper - do to s.t., book - do to s.t.",final,TI
room,room,final,II
root,root,final,"N, NI"
rope,rope or rope-like object,final,N
rope,rope-like objects,final,"II, AI"
"rope
string
wire","rope, string, wire",final,"NA, NI"
"rope
string","rope, string(like)",final,"N, AI, II, TA, TI"
"rope
tie","rope, tying",final,"TA, AI+O"
rot,rot,final,"AI, II"
"rot
ferment","rot, ferment",final,"AI, II"
"round
globular","round, globular",final,N
"rump
tail","rump, tail",final,N
run,run,final,AI
run from,run from,final,"TRANS, TA, AI"
run from,run from him,final,TA
run off,run off,final,"AI, TA"
"run
go quickly","run, go quickly",final,TI
"run
strain
thrust","run, strain, thrust",final,AI
run,running,final,"TA, TI, AI"
"sack
bag","sack, bag",final,NI
sand,sand,final,II
"sand
bank","sand, bank",final,N
sated,sated,final,AI
saw (V),saw,final,"TA, TI"
saw (V),scie,final,V
"saw (V)
grind","saw him, grind him",final,TA
"saw (V)
grind","saw it, grind it",final,TI
saw (V),scie qque chose,final,V
"saw (V)
grind",saw/grind him,final,TA
"saw (V)
grind",saw/grind it,final,TI
say,say,final,AI
say about,say about,final,TA
say,say it,final,AI
say,"say, say it",final,AI
"say
utter
pronounce
articulate (V)
speak","say, utter, pronounce, articulate, speak",final,AI
scare,scare s.o.,final,TA
scrub,scrub,final,AI
see,see,final,"AI, TA, TI"
see,see him,final,TA
see,see s.o.,final,TA
see,see s.t.,final,TI
"see
look","see, look",final,"TA, TI"
"see
think","see, think",final,"TA, TI"
"seek
look for","seek him, look for him",final,TA
"seek
look for","seek it, look for it",final,TI
"seek
look for",seek/look for him,final,TA
"seek
look for",seek/look for it,final,TI
seep,seep,final,
"sell
buy","sell, buy",final,AI
"send
command","send s.o., command s.o.",final,TA
"send
chase","send, chase",final,TA
set (by instrument),set by instrument,final,"TA, TI"
"set (N)
pair","set, pair",final,PART
"set (V)
place (V)","set, place",final,AI
"set (V)
sit
place (V)","set, sit, place",final,"II, AI"
sew,coud,final,V
sew,sew,final,"AI, TA, TI"
sew,sew him,final,TA
sew,sew it,final,TI
sew,sew s.t.,final,TI
sew,coud qqch en place,final,
shin,shin,final,"N, AI"
shine,shine,final,II
"shirted
coated","shirted, coated",final,AI
shoe,shoe,final,"N, NI, AI"
shoot,shoot,final,"AI, TA, TI"
shoot,shoot (with arrow or gun),final,"TA, TI"
shoot,shoot him,final,TA
shoot,shoot it,final,TI
shoot,shoot s.o.,final,TA
shoot,shoot s.t.,final,TI
shot,shot,final,"TA, TI"
shoulder,shoulder,final,AI
language (sign),sign language,final,"AI, TA"
"sign to
motion to","sign to s.o., motion to s.o.",final,TA
"sinew
muscle","sinew, muscle",final,AI
sing,sing,final,"AI, II, TA"
action (single),single action,final,
sit,sit,final,AI
"rest
sit",sit and rest,final,AI
sit,sit; sit there (rel.),final,AI
sit,(anim.) sits,final,AI
sit,sitting,final,
"amount
size","size, amount",final,II
"size
weight","size, weight",final,AI
skin,skin,final,AI
"hide (N)
skin (N)","skin, hide",final,"N, NI"
sky,sky,final,II
sleep,dort,final,
sleep,sleep,final,AI
sleep,en dormant,final,
process (slow),slow process,final,AI
"bush (small)
shrub (small)",small bush or shrub,final,N
round body (small),small round body,final,N
"berry
round
small","small, round, berry",final,N
smell,smell,final,"AI, II, TA, TI"
"odor
smell",smell (have odor),final,AI
smell like,smell like,final,II
"smell
stink","smell, stink",final,AI
smoke,smoke,final,"AI, II, TA"
smoke issue,smoke issue,final,II
"light (N)
mist
smoke","smoke, mist, light",final,TI
smoked,smoked,final,"II, TA, TI"
"nibble
snack","snack, nibble",final,AI
snag,snag,final,"TA, TI"
snake,snake,final,N
snow,snow,final,"AI, II, intr"
lie (snow),snow lie on ground,final,II
soak,soak in water,final,"AI, II, TA, TI"
soak,"soak, in water",final,AI2
"action (social)
language",social action through language,final,"TA, AI+O"
"action (ceremonial)
action (social)",social/ceremonial action on others,final,AI
wear (socks),sock(s) - wear,final,AI
energy,solar/lunar energy,final,II
"people
someone","someone, people",final,AI
song,song,final,NI
sound,sound,final,"TI, TA, II, AI"
"howl
make noise
sound","sound, howl, make noise",final,AI
"make noise
sound","sound, make noise",final,"AI, II"
"holler
make sound
sound","sound, make sound, holler",final,AI
"place (N)
space","space, place",final,N
spatial,spatial,final,II
spatial,propriétés spatiales,final,II
speak,speak,final,AI
speak (language),speak (languages),final,
speak (language),speak a language,final,AI
speak (language),speak language,final,AI
"speak (language)
talk","speak or talk the language of such a people, speak or talk a language",final,AI
speak (language),speak such-and-such a language,final,AI
"speak to
speak about","speak to s.o., speak about s.o.",final,TA
"call
speak","speak, call",final,
"sound
speak","speak, sound",final,AI
"speak
talk","speak, talk",final,AI
"speak
talk
tell about","speak, talk, or tell about him",final,TA
"speak
talk
tell about","speak, talk, or tell about it",final,TI
"speak (language)
talk",speak/talk (a language),final,AI
"speak (language)
talk",speak/talk the X language,final,AI
"speak
talk
tell",speak/talk/tell,final,"TA, TI"
"activity (oral)
speak","parler, activité orale",final,intr
practice (social),specific social practice,final,AI
"fall
fly (V)
speed (V)
lie (position)","speed, fly, fall, tie",final,"AI, II"
spend (time),spend time,final,AI
spend (season),spend...season,final,
spider,spider,final,N
"backbone, spine","spine, backbone",final,AI
spot,spots,final,II
spread out,spread out,final,
squirrel,squirrel,final,N
stagger,stagger,final,AI
stand,debout,final,V
stand,stand,final,"AI, II, TA"
stand,"stand, be standing",final,AI
"stand
step","stand, step",final,AI
"stand
stick out","stand, stick out",final,II
stand,standing,final,AI
"lean
stand","en se tenant, en s'appuyant",final,
"dried out
starved
thin","starved, thin, dried out",final,"AI, II"
state,état,final,II
state,state,final,"AI, II"
"experience
state (of life)
undergo","state of life, experience, undergo",final,AI
"shape
state","state, shape",final,"AI, II"
"condition
state (permanent)",state; referring to permanent state or condition,final,AI
stay away,stay away,final,AI
"live (V)
located
stay","stay, live, be located",final,AI
step,step,final,AI
step,step with reference to s.o.,final,TA
"dance
step (V)","step, dance",final,AI
stick,stick,final,"N, PART"
"stick
tree
wood","stick, wood, tree",final,N
stomach,stomach,final,"N, AI"
stone,stone,final,"N, II"
"solid (N)
stone",stone or solid of similar consistency,final,"N, PART"
"metal
stone","stone, metal",final,"PART, N"
"force (N)
storm",storm force,final,II
story,story,final,AI
stream,stream,final,"II, PART"
strike,strike,final,TA
string,string,final,"N, AI, II"
"cord
string","string, cord",final,N
"row (N)
string","string, row",final,PART
"string
tie","string, tie",final,"TA, TI"
"act (N)
action",subject to act,final,"AI, II"
action,subject to action,final,"AI, II"
"substitute
surrogate",substitute or surrogate,final,N
"substitute
surrogate","substitute, surrogate",final,N
suddenly,suddenly,final,AI
suffer,suffer,final,
suffer (pain),suffer pain,final,AI1
sun,sun,final,AI
heat (sun),sun's heat,final,unknown
sunlight,sunlight,final,II
sunshine,sunshine,final,"AI, II, TA"
suspend,suspend,final,V
suspended,suspended,final,AI
"hanging
suspended","suspended, hanging",final,
"suspended
perched","suspendu, perché, juché",final,
swallow,swallow,final,TA
swamp,swamp,final,II
movement (swift),swift movement,final,AI
swim,swim,final,AI
"float
swim","swim, float",final,AI
"travel (on water)
swim","swim, water travel",final,AI
tail,tail,final,N
tail (animal),tail (animal's),final,"N, AI"
tail (bird),tail (bird's),final,AI
animal (with tail),tailed animal,final,N
take,take,final,PART
take (care of),take care of,final,"TA, TI"
take away,emporte quelque chose,final,
take (time),take time,final,AI
talk,talk,final,"AI, TA, TI"
talk,talking,final,"AI, TA"
taste,goûte,final,
taste,taste,final,"AI, II, TA, TI"
tell,tell,final,"AI, TA, TI"
tell,tell him,final,TA
tell (story),tell story,final,AI
tell (story),tell story to s.o.,final,TA
territory,territory,final,N
testicle,testicle,final,AI
thatch,thatch,final,AI
voice,la voix,final,
there,there,final,PART
thigh,thigh,final,N
thigh,thigh(s),final,AI
think,think,final,"AI, TA, TI"
think (about),think about,final,TA
think (about),think about (anim.),final,TA
think (smells),think he smells ...,final,TA
think (smells),think he smells so,final,TA
think (smells),think he smells X,final,TA
think (tastes),think he tastes ...,final,TA
think (tastes),think he tastes so,final,TA
think (tastes),think he tastes X,final,TA
think (smells),think it smells,final,TI
think (smells),think it smells so,final,TI
think (smells),think it smells X,final,TI
think (tastes),think it tastes so,final,TI
think (tastes),think it tastes X,final,TI
think of,think of him,final,TA
think of,think of inanimate thing,final,TI
"think
mind (N)","think, by mind",final,"AI, TA, TI"
"think
mind (N)",think/use the mind,final,
think,thinking,final,"AI, TA, TI"
thirst,thirst,final,AI
thought (to be),thought to be,final,
thread (V),"thread, to",final,AI
throat,throat,final,"N, AI"
throw,throw,final,"AI, TA, TI"
throw down,throw down,final,"AI, TA, AI2"
"send
throw",throw or send him,final,TA
"send
throw",throw or send it,final,TI
"send
throw",throw/send,final,TRANS
thrown,thrown,final,
"so
thus","thus, so",final,"PART, TI"
tie,tie,final,"AI, II, TA, TI"
tie,tie him,final,TA
tie,tie it,final,TI
tied,tied,final,"AI, II"
tightening,tightening,final,"TA, TI"
time,time,final,PART
time,time passage,final,"II, AI"
times,times,final,PART
act (like),to act like..,final,
be,to be,final,AI
blown,to be blown,final,unknown
done to,to be done to,final,unknown
"little
small",to be little/small and …,final,AI
become,to become,final,unknown
color (V),to colour,final,unknown
cut,to cut it,final,
dawn (V),to dawn,final,
do,to do s.t.,final,AI
"current
flow",to flow as current,final,
freeze,to freeze,final,unknown
go,to go,final,
grow,to grow,final,unknown
have,to have,final,AI
become,to have become,final,unknown
heat,to heat,final,unknown
make (for),to make for someone,final,TA
place (V),to place,final,"AI, II, TA"
rain (V),to rain,final,II
say,to say,final,AI
sit,to sit,final,AI
smoke,to smoke,final,unknown
snow,to snow,final,
speak,to speak,final,AI
stand,to stand,final,
taste,to taste,final,unknown
"to
toward",to(ward) people??,final,AI
toe,toe,final,AI
tongue,tongue,final,"N, AI"
"manipulation
tool","tool, manipulation",final,"TA, AI+O"
"instrument
tool",tool/associated instrument,final,
tooth,tooth,final,"N, AI, II"
track,track,final,"TA, TI"
"track (N)
trail","track, trail",final,"TA, TI"
track,tracks,final,AI
trail,trail,final,"TA, TI"
transfer (possession),transfer of possession,final,
"process (transitional)
position (transitional)",transitional process or position,final,AI
transport,transport,final,"TRANS, TA, TI"
direction (transverse),transverse direction to movement,final,TI
travel,travel,final,AI
"do
treat","treat him, do to him",final,TA
"do
treat",treat him; treat/do to him,final,TA
"do
treat","treat it, do to it",final,TI
"do
treat","treat, do to",final,"II, TA"
"do
treat",treat/do to it,final,TI
tree,tree,final,"N, NA, NI"
"shrub
tree","tree, shrub",final,N
"stick
tree","tree, stick",final,N
"stick
tree
wooden","tree, stick; wooden",final,N
"tree
tuber","tree, tuber",final,AI
"tree
wood","tree, wood",final,N
trout,trout,final,N
try to see,try to see,final,
tune,tune,final,II
"turn into
become",turn into/ become,final,
turtle,turtle,final,N
"typified by
characterized by
given to",typified by? characterized by? given to?,final,
event (uncontrolled),uncontrolled event,final,
undergo,undergo action,final,"AI, II"
underwood,underwood,final,II
unfortunate,unfortunately,final,"AI, II, TA, TI"
quantity,unordered quantities,final,
"hurriedly
urgently","urgently, hurriedly",final,AI
urinate,urinate,final,AI
use,use,final,"AI2, TA, TI"
use (axe),use axe,final,
use (cold),use cold on him/it,final,"TA, TI"
use (cutting edge),use cutting edge,final,
"cook
use (heat, fire)","use fire/heat on him, cook him",final,TA
"cook
use (heat, fire)","use fire/heat on it, cook it",final,TI
"use (body, foot)",use foot or body,final,
use (heat),use heat,final,
use (instrument),use instrument,final,
"use (mouth, teeth)","use mouth, teeth",final,
"paddle on
use (hand)",use something held in the hand on him; use the hand as a club or paddle on him,final,TA
"paddle on
use (hand)",use something held in the hand on it; use the hand as a club or paddle on it,final,TI
use (speech),use speech,final,
"kick
step on
use (body, foot)","use the foot/body on him, step on/kick him",final,TA
"kick
step on
use (body, foot)","use the foot/body on it, step on/kick it",final,TI
"hold
take
use (hand)","use the hand on him, take/hold of him",final,"TA, TI"
"grasp
use (hand)",use the hand(s); grasp,final,
"think about
use (mind, thought)","use the mind/thoughts on him, think about him",final,TA
"think about
use (mind, thought)","use the mind/thoughts on it, think about it",final,TI
use (mouth),use the mouth on him,final,TA
use (mouth),use the mouth on it,final,TI
"speak
use (voice)","use the voice on him, speak to him",final,TA
"speak
use (voice)","use the voice on it, speak to it",final,TI
action (useful),useful action,final,AI
useful,useful for,final,
"price
value","value, price",final,"II, AI"
"grass
plant
vegetation
weed","vegetation, plant, grass, weed",final,"II, NI"
vein,vein,final,AI
action (violent),violent action,final,"TA, TI"
movement (violent),violent movement,final,AI
action (violent),violent physical action,final,"TA, TI"
vision,vision,final,"TA, TI"
appearance,visual appearance,final,II
sound,vocal sound,final,AI
voice,voice,final,AI
vulva,vulva,final,
"swim
wade","wade, swim",final,AI
"move (through water)
swim
wade","wade, swim, move through water",final,
wagon,wagon,final,N
wait for,wait for him,final,TA
wait for,wait for it,final,TI
walk,marche,final,V
walk,walk,final,"AI, TA, TI"
walk,walk (of three or more),final,AI
"go
walk","walk, go",final,
"travel
walk","walk, travel",final,AI
